Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Tuvalu,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,37.36916997291645,32.09509481842356,42.59843465409251
Taiwan (Province of China),2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,59.26388100420116,55.75822679982758,62.64517468367963
United Republic of Tanzania,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,42.01238362139954,36.35146022969615,47.86063191385049
Uganda,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,21.795271439373014,17.352624053643297,27.12030045790486
Ukraine,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,49.08036802149752,44.05134131869377,54.22542760057423
Uruguay,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,57.16506092678735,52.798522692937865,61.52343234363651
United States of America,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,28.095690407121605,22.46010189178601,33.95386955850678
Uzbekistan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.82692107389022,39.23612234280611,48.5331063843543
Saint Vincent and the Grenadines,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,34.964722919674635,29.886975722681274,39.978994826577335
Venezuela (Bolivarian Republic of),2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,37.75321433385411,32.376824608339135,42.749294301093656
United States Virgin Islands,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,43.31093683203933,38.61852868859965,47.8598527414573
Viet Nam,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,34.178687032982666,29.87695434189646,38.49626264796938
Vanuatu,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,41.91671582028652,36.74870368375951,46.36288500963342
Samoa,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,26.017061275362686,22.355350007753145,30.46144147709922
Yemen,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,45.07215079637007,39.43500361361173,51.36530537239521
South Africa,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,34.78844812811173,29.530705866094415,39.576590995710156
Zambia,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,28.096261020940695,23.063748792335346,34.17933052495658
Zimbabwe,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,26.867962855767267,22.559605779291683,31.775095661954527
Egypt,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,41.41825897718307,35.6297369667665,46.80061555538935
Sudan,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,40.39328068127235,34.7721502900215,46.24753558183008
China,2050,All ages,Both,All causes,High LDL cholesterol,Exposure per 100,40.69390813545738,33.63409462211964,47.45195139288382

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2019. Seattle, WA: IHME, University of Washington, 2020. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/9/2025). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
